ProteinID	TPM_max
reefShark__Unknown__TRINITY_DN2645_c0_g1_i1.p1	1.57181
reefShark__Unknown__TRINITY_DN27_c5_g1_i2.p1	229.657207
reefShark__Unknown__TRINITY_DN27_c5_g1_i2.p1	229.657207
reefShark__Unknown__TRINITY_DN3752_c0_g1_i9.p1	10.252859
reefShark__Unknown__TRINITY_DN3752_c0_g1_i9.p1	10.252859
reefShark__Unknown__TRINITY_DN7961_c0_g1_i1.p1	8.117566
reefShark__Unknown__TRINITY_DN7961_c0_g1_i1.p1	8.117566
reefShark__Unknown__TRINITY_DN7936_c0_g1_i1.p1	1.668665
reefShark__Unknown__TRINITY_DN7936_c0_g1_i1.p1	1.668665
reefShark__Unknown__TRINITY_DN7936_c0_g1_i1.p1	1.668665
reefShark__Unknown__TRINITY_DN21881_c0_g1_i5.p2	60.448862
reefShark__Unknown__TRINITY_DN42538_c0_g1_i2.p1	13.112832
reefShark__Unknown__TRINITY_DN42538_c0_g1_i2.p1	13.112832
reefShark__Unknown__TRINITY_DN9238_c0_g2_i2.p1	1.817934
reefShark__Unknown__TRINITY_DN9238_c0_g2_i2.p1	1.817934
reefShark__Unknown__TRINITY_DN17848_c0_g1_i1.p2	2.290466
bambooShark__Unknown__TRINITY_DN49467_c0_g1_i1.p2	6.025796
bambooShark__Unknown__TRINITY_DN8580_c1_g1_i4.p1	1.119645
bambooShark__Unknown__TRINITY_DN10530_c0_g1_i1.p1	2.505554
bambooShark__Unknown__TRINITY_DN9476_c6_g1_i1.p1	6.623041
bambooShark__Unknown__TRINITY_DN1700_c1_g2_i7.p1	4.63907
bambooShark__Unknown__TRINITY_DN1700_c1_g2_i7.p1	4.63907
bambooShark__Unknown__TRINITY_DN31101_c0_g2_i1.p1	2.273468
bambooShark__Unknown__TRINITY_DN31101_c0_g2_i1.p1	2.273468
bambooShark__Unknown__TRINITY_DN510_c3_g5_i3.p1	98.849402
bambooShark__Unknown__TRINITY_DN174_c0_g2_i7.p1	6.629418
bambooShark__Unknown__TRINITY_DN174_c0_g2_i7.p1	6.629418
bambooShark__Unknown__TRINITY_DN2442_c8_g1_i1.p1	15.648228
bambooShark__Unknown__TRINITY_DN94201_c0_g1_i4.p1	8.135104
bambooShark__Unknown__TRINITY_DN74477_c0_g1_i2.p1	5.531605
nurseShark__Unknown__TRINITY_DN1882_c0_g1_i8.p1	4.447602
nurseShark__Unknown__TRINITY_DN1882_c0_g1_i8.p1	4.447602
nurseShark__Unknown__TRINITY_DN396_c4_g1_i7.p1	166.282497
nurseShark__Unknown__TRINITY_DN396_c4_g1_i7.p1	166.282497
nurseShark__Unknown__TRINITY_DN24680_c0_g1_i1.p1	5.460256
nurseShark__Unknown__TRINITY_DN24680_c0_g1_i1.p1	5.460256
nurseShark__Unknown__TRINITY_DN24680_c0_g1_i1.p1	5.460256
nurseShark__Unknown__TRINITY_DN3114_c0_g1_i7.p1	2.338677
nurseShark__Unknown__TRINITY_DN3114_c0_g1_i7.p1	2.338677
nurseShark__Unknown__TRINITY_DN3114_c0_g1_i7.p1	2.338677
nurseShark__Unknown__TRINITY_DN90521_c0_g1_i2.p1	3.448268
nurseShark__Unknown__TRINITY_DN1428_c5_g1_i3.p1	24.165508
nurseShark__Unknown__TRINITY_DN571_c0_g2_i2.p1	1.324233
nurseShark__Unknown__TRINITY_DN13088_c0_g1_i1.p1	3.772785
nurseShark__Unknown__TRINITY_DN7377_c0_g1_i1.p1	2.65151
bowfin__Unknown__TRINITY_DN10178_c0_g1_i6.p1	4.060993
bowfin__Unknown__TRINITY_DN10178_c0_g1_i6.p1	4.060993
bowfin__Unknown__TRINITY_DN692_c4_g2_i1.p1	28.657716
bowfin__Unknown__TRINITY_DN692_c4_g2_i1.p1	28.657716
bowfin__Unknown__TRINITY_DN39931_c0_g1_i1.p1	1.618448
bowfin__Unknown__TRINITY_DN4469_c0_g1_i1.p1	10.604399
bowfin__Unknown__TRINITY_DN815_c0_g1_i2.p1	5.049368
bowfin__Unknown__TRINITY_DN815_c0_g1_i2.p1	5.049368
bowfin__Unknown__TRINITY_DN815_c0_g1_i2.p1	5.049368
bowfin__Unknown__TRINITY_DN13789_c0_g1_i1.p1	11.807795
bowfin__Unknown__TRINITY_DN10945_c0_g1_i2.p1	2.131296
bowfin__Unknown__TRINITY_DN3926_c0_g1_i2.p1	3.368218
bowfin__Unknown__TRINITY_DN10924_c0_g1_i1.p1	2.204206
bowfin__Unknown__TRINITY_DN23673_c0_g1_i1.p1	1.175872
bowfin__Unknown__TRINITY_DN2421_c1_g1_i1.p1	3.71257
bowfin__Unknown__TRINITY_DN4893_c0_g1_i3.p1	6.464659
bowfin__Unknown__TRINITY_DN56309_c0_g1_i1.p1	11.682546
bowfin__Unknown__TRINITY_DN59148_c0_g1_i1.p1	2.630961
bowfin__Unknown__TRINITY_DN8079_c0_g1_i2.p1	3.075803
bowfin__Unknown__TRINITY_DN948_c1_g1_i1.p1	6.727077
spottedGar__Unknown__TRINITY_DN1707_c0_g1_i5.p1	3.001235
spottedGar__Unknown__TRINITY_DN1707_c0_g1_i5.p1	3.001235
spottedGar__Unknown__TRINITY_DN435_c1_g1_i5.p1	43.625343
spottedGar__Unknown__TRINITY_DN435_c1_g1_i5.p1	43.625343
spottedGar__Unknown__TRINITY_DN110_c4_g1_i6.p1	2.843442
spottedGar__Unknown__TRINITY_DN110_c4_g1_i6.p1	2.843442
spottedGar__Unknown__TRINITY_DN5067_c0_g2_i5.p1	8.331964
spottedGar__Unknown__TRINITY_DN3773_c0_g1_i1.p1	23.223543
spottedGar__Unknown__TRINITY_DN4874_c0_g1_i3.p2	6.659627
spottedGar__Unknown__TRINITY_DN10751_c0_g1_i1.p1	3.506196
spottedGar__Unknown__TRINITY_DN5067_c0_g1_i2.p1	23.346376
spottedGar__Unknown__TRINITY_DN29427_c0_g1_i34.p1	15.224195
spottedGar__Unknown__TRINITY_DN95_c2_g2_i2.p1	17.131646
spottedGar__Unknown__TRINITY_DN21918_c0_g2_i1.p1	2.158394
spottedGar__Unknown__TRINITY_DN25696_c0_g1_i1.p1	15.96751
spottedGar__Unknown__TRINITY_DN29491_c1_g3_i1.p1	8.916992
spottedGar__Unknown__TRINITY_DN66330_c0_g1_i1.p1	1.494154
spottedGar__Unknown__TRINITY_DN70469_c0_g1_i4.p1	1.327607
spottedGar__Unknown__TRINITY_DN86035_c0_g1_i1.p1	2.163546
spottedGar__Unknown__TRINITY_DN88363_c0_g1_i1.p1	2.988486
spottedGar__Unknown__TRINITY_DN97685_c0_g1_i1.p2	1.48724
floridaGar__Unknown__TRINITY_DN16_c0_g2_i3.p1	42.379913
