OrganismOrder181	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate	Representative	Datasets	OrganismOrder50	annotated50	bulkrna107	scrna35	hahnscrna17	liscrna24	near29	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment	SurrogateID	SurrogateShortName	SurrogateAnnotationSource	SurrogateAnnotationRelease	SurrogateAnnotationName
44	eel	Gymnothorax_saxicola	Ocellated moray eel	Gymnothorax saxicola	Teleost ray-finned fishes	Yes	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Anguilla_rostrata	americanEel	GCF	GCF_018555375.3	ASM1855537v3
45	zebrafish	Danio_rerio	Zebrafish	Danio rerio	Teleost ray-finned fishes	Yes	Yes	annotated50,bulkrna107,hahnscrna17	16.0	Yes	Yes	Yes	Yes	No	No	GCF	GCF_000002035.6	GRCz11		Danio_rerio	zebrafish	GCF	GCF_000002035.6	GRCz11
46	grassCarp	Ctenopharyngodon_idella	Grass carp	Ctenopharyngodon idella	Teleost ray-finned fishes	Yes	Yes	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_019924925.1	HZGC01		Ctenopharyngodon_idella	grassCarp	GCF	GCF_019924925.1	HZGC01
47	channelCatfish	Ictalurus_punctatus	Channel catfish	Ictalurus punctatus	Teleost ray-finned fishes	Yes	No	annotated50	17.0	Yes	No	No	No	No	No	GCF	GCF_001660625.3	Coco_2.0		Ictalurus_punctatus	channelCatfish	GCF	GCF_001660625.3	Coco_2.0
48	yangtzeCatfish	Silurus_meridionalis	Yangtze catfish	Silurus meridionalis	Teleost ray-finned fishes	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_014805685.1	ASM1480568v1		Silurus_meridionalis	yangtzeCatfish	GCF	GCF_014805685.1	ASM1480568v1
49	piranha	Pygocentrus_nattereri	Red-bellied piranha	Pygocentrus nattereri	Teleost ray-finned fishes	Yes	Yes	annotated50	18.0	Yes	No	No	No	No	No	GCF	GCF_015220715.1	fPygNat1.pri		Pygocentrus_nattereri	piranha	GCF	GCF_015220715.1	fPygNat1.pri
50	northernPike	Esox_lucius	Northern pike	Esox lucius	Teleost ray-finned fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_011004845.1	fEsoLuc1.pri		Esox_lucius	northernPike	GCF	GCF_011004845.1	fEsoLuc1.pri
51	lanternFish	Electrona_risso	Electric lantern fish	Electrona risso	Teleost ray-finned fishes	Yes	No	bulkrna107		No	Yes	No	No	No	No	NoGenome				Gadus_morhua	cod	GCF	GCF_902167405.1	gadMor3.0
52	cod	Gadus_morhua	Atlantic cod	Gadus morhua	Teleost ray-finned fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_902167405.1	gadMor3.0		Gadus_morhua	cod	GCF	GCF_902167405.1	gadMor3.0
53	tuna	Thunnus_albacares	Yellowfin tuna	Thunnus albacares	Teleost ray-finned fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_914725855.1	fThuAlb1.1		Thunnus_albacares	tuna	GCF	GCF_914725855.1	fThuAlb1.1
54	snakeheadFish	Channa_argus	Snakehead fish	Channa argus	Teleost ray-finned fishes	Yes	Yes	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_033026475.1	Channa_argus_male_v1.0	Orig paper used ASM1899790v1	Channa_argus	snakeheadFish	GCF	GCF_033026475.1	Channa_argus_male_v1.0
55	cichlid	Archocentrus_centrarchus	Flier cichlid	Archocentrus centrarchus	Teleost ray-finned fishes	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_007364275.1	fArcCen1		Aulonocara_stuartgranti	flavescentPeacockFish	GCF	GCF_007364275.1	fArcCen1
56	tilapia	Oreochromis_mossambicus	Mozambique tilapia	Oreochromis mossambicus	Teleost ray-finned fishes	Yes	No	liscrna24		No	No	Yes	No	Yes	No	GCF Near	GCF_007364275.1	fArcCen1		Aulonocara_stuartgranti	flavescentPeacockFish	GCF	GCF_007364275.1	fArcCen1
57	flavescentPeacockFish	Aulonocara_stuartgranti	Flavescent peacock cichlid	Aulonocara stuartgranti	Teleost ray-finned fishes	Yes	Yes	near29		No	No	No	No	No	Yes	GCF	GCF_007364275.1	fArcCen1		Aulonocara_stuartgranti	flavescentPeacockFish	GCF	GCF_007364275.1	fArcCen1
58	yellowPeacockFish	Aulonocara_baenschi	Nkhomo-benga peacock	Aulonocara baenschi	Teleost ray-finned fishes	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_007364275.1	fArcCen1		Aulonocara_stuartgranti	flavescentPeacockFish	GCF	GCF_007364275.1	fArcCen1
59	triggerfish	Rhinecanthus_aculeatus	Lagoon triggerfish	Rhinecanthus aculeatus	Teleost ray-finned fishes	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_046127955.1	CSIRO-AGI_Nayr_v1		Nelusetta_ayraudi	oceanJacket	GCF	GCF_046127955.1	CSIRO-AGI_Nayr_v1
60	oceanJacket	Nelusetta_ayraudi	Chinaman-leatherjacket	Nelusetta ayraudi	Teleost ray-finned fishes	Yes	Yes	near29		No	No	No	No	No	Yes	GCF	GCF_046127955.1	CSIRO-AGI_Nayr_v1		Nelusetta_ayraudi	oceanJacket	GCF	GCF_046127955.1	CSIRO-AGI_Nayr_v1
61	giltheadBream	Sparus_aurata	Gilt-head bream	Sparus aurata	Teleost ray-finned fishes	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_900880675.1	fSpaAur1.1		Sparus_aurata	giltheadBream	GCF	GCF_900880675.1	fSpaAur1.1
62	oldwife	Enoplosus_armatus	Old wife	Enoplosus armatus	Teleost ray-finned fishes	Yes	Yes	near29		No	No	No	No	No	Yes	GCF	GCF_043641665.1	fEnoArm2.hap1		Enoplosus_armatus	oldwife	GCF	GCF_043641665.1	fEnoArm2.hap1
63	bluegill	Lepomis_macrochirus	Bluegill	Lepomis macrochirus	Teleost ray-finned fishes	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_043641665.1	fEnoArm2.hap1		Enoplosus_armatus	oldwife	GCF	GCF_043641665.1	fEnoArm2.hap1
64	coelacanth	Latimeria_chalumnae	Coelacanth	Latimeria chalumnae	Lobe-finned fishes	Yes	Yes	annotated50	19.0	Yes	No	No	No	No	No	GCF	GCF_037176945.1	fLatCha1.pri		Latimeria_chalumnae	coelacanth	GCF	GCF_037176945.1	fLatCha1.pri
