OrganismShortName	OrganismID	SurrogateID	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment
roundleafBat	Hipposideros_armiger		GCF	GCF_001890085.2	ASM189008v1	
fruitBat	Cynopterus_sphinx	Rousettus_aegyptiacus	GCF Near			
egyptianBat	Rousettus_aegyptiacus		GCF	GCF_014176215.1	mRouAeg1.p	
nectarBat	Eonycteris_spelaea	Rousettus_aegyptiacus	GCF Near			
horse	Equus_caballus		GCF	GCF_041296265.1	TB-T2T	
pig	Sus_scrofa		GCF	GCF_000003025.6	Sscrofa11.1	
minkeWhale	Balaenoptera_acutorostrata		GCF	GCF_949987535.1	mBalAcu1.1	
bowheadWhale	Balaena_mysticetus	Balaenoptera_acutorostrata	GCF Near			
cow	Bos_taurus		GCF	GCF_002263795.3	ARS-UCD2.0	
sheep	Ovis_aries		GCF	GCF_016772045.2	ARS-UI_Ramb_v3.0	Orig paper used  Oar_rambouillet_v1.0
cat	Felis_catus		GCF	GCF_018350175.1	F.catus_Fca126_mat1.0	
dog	Canis_familiaris		GCF	GCF_011100685.1	UU_Cfam_GSD_1.0	
ferret	Mustela_furo		GCF	GCF_011764305.1	ASM1176430v1.1	
treeShrew	Tupaia_belangeri		Custom	http://www.treeshrewdb.org/download.html	TS_3.0	Orig paper used  GCF_000334495.1_TupChi_1.0
guineapig	Cavia_porcellus		GCF	GCF_034190915.1	mCavPor4.1	Orig paper used  Cavpor3.0
groundSquirrel	Ictidomys_tridecemlineatus		GCF	GCF_016881025.1	HiC_Itri_2	Orig paper used  GCF_000236235.1_SpeTri2.0
chipmunk	Tamias_sibiricus		Custom	GCA_047496905.1	ASM4749690v1	Orig paper used ASM2559416v1
blindMoleRat	Nannospalax_galili		GCF	GCF_000622305.1	S.galili_v1.0	
zokor	Myospalax_baileyi	Nannospalax_galili	GCF Near			
hamster	Mesocricetus_auratus		GCF	GCF_017639785.1	BCM_Maur_2.0	
deerMouse	Peromyscus_maniculatus		GCF	GCF_049852395.1	HU_Pman_BW_mat_3.1	Orig paper used HU_Pman_2.1
gerbil	Meriones_unguiculatus		GCF	GCF_030254825.1	Bangor_MerUng_6.1	
sandRat	Psammomys_obesus		GCF	GCF_907164565.1	mPsaObe1.curated_primary_1811	
grassMouse	Rhabdomys_pumilio		Custom		Rhabdomys_pumilio_premRNA	
brownRat	Rattus_norvegicus		GCF	GCF_036323735.1	GRCr8	
labMouse	Mus_musculus		GCF	GCF_000001635.27	GRCm39	
marmoset	Callithrix_jacchus		GCF	GCF_011100555.1	mCalJa1.2.pat.X	Orig paper used GCF_000004665.1_Callithrix jacchus-3.2
nancymaMonkey	Aotus_nancymaae		GCF	GCF_030222135.1	86718_ANA_hifiasm-v0.15.2.pri	
oliveBaboon	Papio_anubis		GCF	GCF_008728515.1	Panubis1.0	
crabMacaque	Macaca_fascicularis		GCF	GCF_037993035.1	T2T-MFA8v1.0	
rhesusMacaque	Macaca_mulatta		GCF	GCF_003339765.1	Mmul_10	
human	Homo_sapiens		GCF	GCF_000001405.40	GRCh38.p14	
