OrganismOrder181	ShortName	OrganismShortName	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate
120	shortearOwl	shortearOwl	Short-eared owl	Asio flammeus	Birds	Yes
121	longearOwl	longearOwl	Long-eared owl	Asio otus	Birds	Yes
122	screechOwl	screechOwl	Eastern screech owl	Megascops asio	Birds	Yes
123	barredOwl	barredOwl	Barred owl	Strix varia	Birds	Yes
124	uralOwl	uralOwl	Ural owl	Strix uralensis	Birds	Yes
125	tawnyOwl	tawnyOwl	Tawny owl	Strix aluco	Birds	Yes
126	eagleOwl	eagleOwl	Eurasian eagle-owl	Bubo bubo	Birds	Yes
127	hornedOwl	hornedOwl	Great horned owl	Bubo virginianus	Birds	Yes
128	mousebird	mousebird	Speckled mousebird	Colius striatus	Birds	Yes
129	hoopoe	hoopoe	Eurasian hoopoe	Upupa epops	Birds	Yes
130	honeyguide	honeyguide	Greater honeyguide	Indicator indicator	Birds	Yes
131	woodpecker	woodpecker	Grey-headed woodpecker	Picus canus	Birds	Yes
132	budgerigar	budgerigar	Budgerigar	Melopsittacus undulatus	Birds	Yes
133	commonKestrel	commonKestrel	Common kestrel	Falco tinnunculus	Birds	Yes
134	peregrineFalcon	peregrineFalcon	Peregrine falcon	Falco peregrinus	Birds	Yes
135	eurasianHobby	eurasianHobby	Eurasian hobby	Falco subbuteo	Birds	Yes
136	hawaiianCrow	hawaiianCrow	Hawaiian crow	Corvus hawaiiensis	Birds	Yes
137	carrionCrow	carrionCrow	Carrion crow	Corvus corone corone	Birds	Yes
138	hoodedCrow	hoodedCrow	Hooded crow	Corvus cornix cornix	Birds	Yes
139	whiteWagtail	whiteWagtail	White wagtail	Motacilla alba	Birds	Yes
140	canary	canary	Canary	Serinus canaria	Birds	Yes
141	zebrafinch	zebrafinch	Zebrafinch	Taeniopygia guttata	Birds	Yes
142	platypus	platypus	platypus	Ornithorhynchus anatinus	Mammals	Yes
143	opossum	opossum	Gray short-tailed opossum	Monodelphis domestica	Mammals	Yes
144	europeanHedgehog	europeanHedgehog	Western European hedgehog	Erinaceus europaeus	Mammals	Yes
145	africanHedgehog	africanHedgehog	Hedgehog	Atelerix algirus	Mammals	Yes
146	sacwingedBat	sacwingedBat	Greater sac-winged bat	Saccopteryx bilineata	Mammals	Yes
147	tombBat	tombBat	Black-bearded tomb bat	Taphozous melanopogon	Mammals	Yes
148	daubentonBat	daubentonBat	Daubenton's bat	Myotis daubentonii	Mammals	Yes
149	waterMyotis	myotisBat	Chinese water myotis	Myotis laniger	Mammals	Yes
150	roundleafBat	roundleafBat	Great roundleaf bat	Hipposideros armiger	Mammals	Yes
151	fruitBat	fruitBat	Greater short-nosed fruit bat	Cynopterus sphinx	Mammals	Yes
152	egyptianBat	egyptianBat	Egyptian rousette	Rousettus aegyptiacus	Mammals	Yes
153	nectarBat	nectarBat	Cave nectar bat	Eonycteris spelaea	Mammals	Yes
154	horse	horse	Horse	Equus caballus	Mammals	Yes
155	pig	pig	Wild boar or domestic pig	Sus scrofa domesticas 	Mammals	Yes
156	minkeWhale	minkeWhale	Minke whale	Balaenoptera acutorostrata	Mammals	Yes
157	bowheadWhale	bowheadWhale	Bowhead whale	Balaena mysticetus	Mammals	Yes
158	cow	cow	Cow	Bos taurus	Mammals	Yes
159	sheep	sheep	Sheep	Ovis aries	Mammals	Yes
160	cat	cat	Cat	Felis catus	Mammals	Yes
161	dog	dog	Dog	Canis lupus familiaris	Mammals	Yes
162	ferret	ferret	Ferret	Mustela putorius furo	Mammals	Yes
163	guineapig	guineapig	Guinea pig	Cavia porcellus	Mammals	Yes
164	groundSquirrel	groundSquirrel	Thirteen-lined ground squirrel	Ictidomys tridecemlineatus	Mammals	Yes
165	chipmunk	chipmunk	Chipmunk	Tamias sibiricus	Mammals	Yes
166	blindMoleRat	blindMoleRat	Upper Galilee mountains blind mole rat	Nannospalax galili	Mammals	Yes
167	zokor	zokor	Zokor	Myospalax baileyi	Mammals	Yes
168	hamster	hamster	Hamster	Mesocricetus auratus	Mammals	Yes
169	deerMouse	deerMouse	Deer mouse	Peromyscus maniculatus bairdii	Mammals	Yes
170	gerbil	gerbil	Mongolian gerbil	Meriones unguiculatus	Mammals	Yes
171	sandRat	sandRat	Sand rat	Psammomys obesus	Mammals	Yes
172	brownRat	brownRat	Brown rat	Rattus norvegicus	Mammals	Yes
173	grassMouse	grassMouse	Four-striped grass mouse	Rhabdomys pumilio	Mammals	Yes
174	mouse	labMouse	Laboratory mouse	Mus musculus	Mammals	Yes
175	treeShrew	treeShrew	Northern treeshrew	Tupaia belangeri chinensis	Mammals	Yes
176	marmoset	marmoset	Common marmoset	Callithrix jacchus	Mammals	Yes
177	nancymaMonkey	nancymaMonkey	Nancy Ma's night monkey	Aotus nancymaae	Mammals	Yes
178	oliveBaboon	oliveBaboon	Olive baboon	Papio anubis	Mammals	Yes
179	macaque	crabMacaque	Crab-eating macaque	Macaca fascicularis	Mammals	Yes
180	rhesusMacaque	rhesusMacaque	Rhesus macaque	Macaca mulatta	Mammals	Yes
181	human	human	Human	Homo sapiens	Mammals	Yes
