OrganismOrder149	ShortName	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	OrganismOrder50	Datasets	annotated50	bulkrna108	hahnscrna17	liscrna24
127	cow	cow	Bos_taurus	Cow	Bos taurus	Mammals	42	"annotated50,bulkrna108,hahnscrna17"	Yes	Yes	Yes	No
128	sheep	sheep	Ovis_aries	Sheep	Ovis aries	Mammals		hahnscrna17	No	No	Yes	No
129	cat	cat	Felis_catus	Cat	Felis catus	Mammals		"bulkrna108,liscrna24"	No	Yes	No	Yes
130	dog	dog	Canis_familiaris	Dog	Canis lupus familiaris	Mammals	43	"annotated50,bulkrna108,liscrna24"	Yes	Yes	No	Yes
131	ferret	ferret	Mustela_furo	Ferret	Mustela putorius furo	Mammals		"hahnscrna17,liscrna24"	No	No	Yes	Yes
132	treeShrew	treeShrew	Tupaia_belangeri	Northern treeshrew	Tupaia belangeri chinensis	Mammals		hahnscrna17	No	No	Yes	No
133	guineapig	guineapig	Cavia_porcellus	Guinea pig	Cavia porcellus	Mammals		liscrna24	No	No	No	Yes
134	groundSquirrel	groundSquirrel	Ictidomys_tridecemlineatus	Thirteen-lined ground squirrel	Ictidomys tridecemlineatus	Mammals	44	"annotated50,bulkrna108,hahnscrna17"	Yes	Yes	Yes	No
135	chipmunk	chipmunk	Tamias_sibiricus	Chipmunk	Tamias sibiricus	Mammals		liscrna24	No	No	No	Yes
136	zokor	zokor	Myospalax_baileyi	Zokor	Myospalax baileyi	Mammals		bulkrna108	No	Yes	No	No
137	hamster	hamster	Mesocricetus_auratus	Hamster	Mesocricetus auratus	Mammals		liscrna24	No	No	No	Yes
138	deerMouse	deerMouse	Peromyscus_maniculatus	Deer mouse	Peromyscus maniculatus bairdii	Mammals		hahnscrna17	No	No	Yes	No
139	gerbil	gerbil	Meriones_unguiculatus	Mongolian gerbil	Meriones unguiculatus	Mammals		liscrna24	No	No	No	Yes
140	sandRat	sandRat	Psammomys_obesus	Sand rat	Psammomys obesus	Mammals	45	"annotated50,bulkrna108"	Yes	Yes	No	No
141	grassMouse	grassMouse	Rhabdomys_pumilio	Four-striped grass mouse	Rhabdomys pumilio	Mammals		hahnscrna17	No	No	Yes	No
142	brownRat	brownRat	Rattus_norvegicus	Brown rat	Rattus norvegicus	Mammals	46	"annotated50,bulkrna108,liscrna24"	Yes	Yes	No	Yes
143	mouse	labMouse	Mus_musculus	Laboratory mouse	Mus musculus	Mammals	47	"annotated50,bulkrna108,hahnscrna17,liscrna24"	Yes	Yes	Yes	Yes
144	marmoset	marmoset	Callithrix_jacchus	Common marmoset	Callithrix jacchus	Mammals	48	"annotated50,bulkrna108,hahnscrna17"	Yes	Yes	Yes	No
145	nancymaMonkey	nancymaMonkey	Aotus_nancymaae	Nancy Ma's night monkey	Aotus nancymaae	Mammals		bulkrna108	No	Yes	No	No
146	oliveBaboon	oliveBaboon	Papio_anubis	Olive baboon	Papio anubis	Mammals		bulkrna108	No	Yes	No	No
147	macaque	crabMacaque	Macaca_fascicularis	Crab-eating macaque	Macaca fascicularis	Mammals	49	"annotated50,bulkrna108,hahnscrna17,liscrna24"	Yes	Yes	Yes	Yes
148	rhesusMacaque	rhesusMacaque	Macaca_mulatta	Rhesus macaque	Macaca mulatta	Mammals		bulkrna108	No	Yes	No	No
149	human	human	Homo_sapiens	Human	Homo sapiens	Mammals	50	"annotated50,bulkrna108,hahnscrna17,liscrna24"	Yes	Yes	Yes	Yes
