SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismID	NumberSamples	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_BioSampleID	SRA_ExperimentID	ReferencePaper	DOI
Scyliorhinus_torazame_0	SCTO0	0	SRA	SE	Scyliorhinus_torazame	2		PRJDB6260	DRR111795	SAMD00099004	DRX104862	NoReferencePaper	
Scyliorhinus_torazame_1	SCTO1	1	SRA	SE	Scyliorhinus_torazame	2		PRJDB6260	DRR111817	SAMD00099026	DRX104884	NoReferencePaper	
Sepioteuthis_sepioidea_0	SESE0	0	NNRL	PE	Sepioteuthis_sepioidea	1	R42015-025						
Serinus_canaria_0	SECA0	0	Mine	PE	Serinus_canaria	3	R42019-244						
Serinus_canaria_1	SECA1	1	Mine	PE	Serinus_canaria	3	R42019-245						
Serinus_canaria_2	SECA2	2	Mine	PE	Serinus_canaria	3	R42019-246						
Silurus_meridionalis_0	SIME0	0	SRA	PE	Silurus_meridionalis	1		PRJNA427243	SRR7224137	SAMN09269384	SRX4130681	NoReferencePaper	
Sparus_aurata_0	SPAU0	0	SRA	PE	Sparus_aurata	1		PRJNA421052	SRR8242400	SAMN10473298	SRX5060722	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
Strix_aluco_0	STAL0	0	SRA	PE	Strix_aluco	1		PRJNA497817	SRR8083919	SAMN10266702 	SRX4910959	Hoglund_Strandh_2019_OwlsLackUVsensitive	https://doi.org/10.1016/j.visres.2019.02.005
Strix_varia_0	STVA0	0	Mine	PE	Strix_varia	1	R42019-287						
Struthio_camelus_0	STCA0	0	SRA	PE	Struthio_camelus	1		PRJNA437520	SRR6820422	SAMN08667384	SRX3777271	NoReferencePaper	
Sus_scrofa_0	SUSC0	0	SRA	PE	Sus_scrofa	3		PRJNA392949	SRR5803851	SAMN07315029	SRX2983153	Zhao_Liu_2021_MiningUnknownPorcine	https://doi.org/10.1016/j.gpb.2021.02.002
