SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismSerial	OrganismID	OrganismName	CommonName	Category	NumberSamples	Habitat	Nocturnality	NumMacula	NumFovea	NumFoveola	GenomeAvailable	AnnotationAvailable	ZoonomiaPresence	Order	Genus	Species	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_Downloaded	SRA_BioSampleID	SRA_ExperimentID	Notes	Life stage	Sex	NocturnalityComments	GenomeAssemblyENSEMBL	GenomeAccessionENSEMBL	GenusAlternativeENSEMBL	GenomeNCBI	GenomeAccessionNCBI	GenomeAssemblyNCBI	GenomeENSEMBL	AnnotationNCBI	AnnotationENSEMBL	GenomeZoonomia	AnnotationZoonomia	ZoonomiaComment	EarlyChordateSet	SpeciesCode	ActualOrganismID	source	gtf_url	cds_url	ReferencePaper	DOI	GenomeAnnotationInRefPaper
Neotrygon_kuhlii_0	NEKU0	0	SRA	PE	17	Neotrygon_kuhlii	Neotrygon kuhlii	Blue-spotted stingray	Cartilaginous fish	1		Unknown				No	No		Myliobatiformes	Neotrygon	kuhlii		PRJNA292033	SRR2146930		SAMN03960123	SRX1134591								No			No	No	No					cnkuhl					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Amia_calva_0	AMCA0	0	SRA	PE	22	Amia_calva	Amia calva	Bowfin	Fish	1		Nocturnal				Species	Species		Amiiformes	Amia	calva		PRJNA292033	SRR2146931	Yes	SAMN03960124	SRX1134592				https://www.softschools.com/facts/animals/bowfin_facts/1117/				Species	GCA_016984155.1	BGI_Acal_1.1	No	Species	No				x	facalv					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Lepisosteus_platyrhincus_0	LEPL0	0	SRA	PE	24	Lepisosteus_platyrhincus	Lepisosteus platyrhincus	Florida gar	Fish	1		Diurnal				Genus	Genus		Lepisosteiformes	Lepisosteus	platyrhincus		PRJNA292033	SRR2146933		SAMN03960125	SRX1134593				"https://eol.org/pages/848957#:~:text=Lepisosteus%20platyrhincus%20De%20Kay%201842&text=They%20are%20native%20to%20The,They%20have%20sexual%20reproduction."	LepOcu1	GCA_000242695.1	Lepisosteus oculatus	Genus	GCF_000242695.1	LepOcu1	Genus	Genus	Genus				x	flplat					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Nephrops_norvegicus_1	NENO1	1	SRA	PE	3	Nephrops_norvegicus	Nephrops norvegicus	Norway lobster	Arthropod	2		Unknown				No	No		Decapoda	Nephrops	norvegicus		PRJNA293452	SRR2388552		SAMN04003013	SRX1238927	Sample: Darkness							No			No	No	No					annorv					Sbragaglia_Aguzzi_2015_IdentificationCharacterizationDiel	https://doi.org/10.1371/journal.pone.0141893	
Nephrops_norvegicus_0	NENO0	0	SRA	PE	3	Nephrops_norvegicus	Nephrops norvegicus	Norway lobster	Arthropod	2		Unknown				No	No		Decapoda	Nephrops	norvegicus		PRJNA293452	SRR2388448		SAMN04003013	SRX1257754	Sample: Light							No			No	No	No					annorv					Sbragaglia_Aguzzi_2015_IdentificationCharacterizationDiel	https://doi.org/10.1371/journal.pone.0141893	
Xenopus_laevis_0	XELA0	0	SRA	SE	40	Xenopus_laevis	Xenopus laevis	African clawed frog	Amphibian	3		Unknown				Species	Species		Anura	Xenopus	laevis		PRJNA311315	SRR3157346		SAMN04481654	SRX1568298	Total retina				UCB_Xtro_10.0	GCA_000004195.4		Species	GCF_017654675.1	Xenopus_laevis_v10.1	Genus	Species	Genus					axlaev					Whitworth_Watson_2017_TranslationalProfilingRetinal	https://doi.org/10.1016/j.ydbio.2016.06.003	
Xenopus_laevis_2	XELA2	2	SRA	SE	40	Xenopus_laevis	Xenopus laevis	African clawed frog	Amphibian	3		Unknown				Species	Species		Anura	Xenopus	laevis		PRJNA311315	SRR3157347		SAMN04481655	SRX1568299	Naïve (non-surgical)				UCB_Xtro_10.0	GCA_000004195.4		Species	GCF_017654675.1	Xenopus_laevis_v10.1	Genus	Species	Genus					axlaev					Whitworth_Watson_2017_TranslationalProfilingRetinal	https://doi.org/10.1016/j.ydbio.2016.06.003	
Xenopus_laevis_1	XELA1	1	SRA	SE	40	Xenopus_laevis	Xenopus laevis	African clawed frog	Amphibian	3		Unknown				Species	Species		Anura	Xenopus	laevis		PRJNA311315	SRR3157356		SAMN04481664	SRX1568308	Day 11 control left eye				UCB_Xtro_10.0	GCA_000004195.4		Species	GCF_017654675.1	Xenopus_laevis_v10.1	Genus	Species	Genus					axlaev					Whitworth_Watson_2017_TranslationalProfilingRetinal	https://doi.org/10.1016/j.ydbio.2016.06.003	
Alatina_alata_0	ALAL0	0	SRA	PE	1	Alatina_alata	Alatina alata	Sea wasp	Jellyfish	1		Unknown				Species	No		Carybdeida	Alatina	alata		PRJNA312373	SRR3278480		SAMN04569896	SRX1652825	rhopalium							Species			No	No	No					jaalat					LewisAmes_Collins_2016_NewTranscriptomeTranscriptome	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-2944-3	Denovo assembly
Felis_catus_0	FECA0	0	SRA	PE	93	Felis_catus	Felis catus	Cat	Mammal	2		Unknown				Species	Species	Species	Carnivora	Felis	catus		PRJNA312519	SRR3200457		SAMN04498538	SRX1610310					Felis_catus_9.0	GCA_000181335.4		Species	GCF_018350175.1	F.catus_Fca126_mat1.0	Species	Species	Species	Species	Species			mfcatu					Visser_Merritt_2019_IdentificationQuantificationDomestic	https://doi.org/10.1111/jvp.12708	
Felis_catus_1	FECA1	1	SRA	PE	93	Felis_catus	Felis catus	Cat	Mammal	2		Unknown				Species	Species	Species	Carnivora	Felis	catus		PRJNA312519	SRR3200465		SAMN04498540	SRX1610318					Felis_catus_9.0	GCA_000181335.4		Species	GCF_018350175.1	F.catus_Fca126_mat1.0	Species	Species	Species	Species	Species			mfcatu					Visser_Merritt_2019_IdentificationQuantificationDomestic	https://doi.org/10.1111/jvp.12708	
Circus_melanoleucos_0	CIME0	0	SRA	PE	67	Circus_melanoleucos	Circus melanoleucos	Pied harrier	Bird	1		Nocturnal				Genus	No		Accipitriformes	Circus	melanoleucos		PRJNA314290	SRR3203217		SAMN04531182	SRX1612720	retina and cochlea							Genus			No	No	No					bcmela					NoReferencePaper		
Asio_otus_0	ASOT0	0	SRA	PE	80	Asio_otus	Asio otus	Long-eared owl	Bird	2		Nocturnal				No	No		Strigiformes	Asio	otus		PRJNA314290	SRR3203220		SAMN04531183	SRX1612722	retina and cochlea			"https://www.woodlandtrust.org.uk/trees-woods-and-wildlife/animals/birds/long-eared-owl/#:~:text=The%20best%20time%20to%20spot,see%20them%20on%20the%20wing."				No			No	No	No					baotus					NoReferencePaper		
